UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,4.2,2020,19,4364964,2229205,2135759,1635536,1555685,332104,325617,33425,32086,127332,125034,6057,5928,94751,91409,1721667,1638673,379815,372103,56109,54069,162472,158338,13283,12899,1702959,1633207,1176950,1117850,305538,300106,18192,17557,122026,120082,4352,4142,75901,73470,1246039,1184750,344313,338091,33468,32518,151779,148231,9837,9449,526246,502552,458586,437835,26566,25511,15233,14529,5306,4952,1705,1786,18850,17939,475628,453923,35502,34012,22641,21551,10693,10107,3446,3450
R,4.2,2020,20,4320696,2206813,2113883,1620115,1539852,333006,326303,33470,31958,122327,120524,6098,5752,91797,89494,1703577,1620855,379392,372233,56319,54086,155327,152446,13023,12595,1690911,1621817,1170396,1111137,306860,301427,18435,17693,117194,115633,4346,4084,73680,71843,1237557,1176292,344698,339038,33940,32753,145138,142511,9649,9299,515902,492066,449719,428715,26146,24876,15035,14265,5133,4891,1752,1668,18117,17651,466020,444563,34694,33195,22379,21333,10189,9935,3374,3296
R,4.2,2020,21,4286767,2186769,2099998,1609269,1532179,327279,322670,32654,31725,122191,121027,6043,5616,89333,86781,1690178,1610745,371869,366793,55128,53938,154424,151778,13210,12304,1682605,1617125,1169608,1111204,301760,298243,18148,17662,117051,116150,4335,4038,71703,69828,1234704,1174553,338132,334376,33523,33051,144308,142026,9876,9216,504164,482873,439661,420975,25519,24427,14506,14063,5140,4877,1708,1578,17630,16953,455474,436192,33737,32417,21605,20887,10116,9752,3334,3088
R,4.2,2020,22,4261051,2172044,2089007,1591390,1519105,327453,322100,32154,31404,129068,126690,6020,5727,85959,83981,1669135,1595003,370102,364215,54279,53237,159986,156587,12748,12131,1676561,1615113,1158290,1105387,303006,298366,17666,17624,124077,121928,4384,4159,69138,67649,1220913,1166620,337869,332858,32941,32833,150258,147248,9598,9106,495483,473894,433100,413718,24447,23734,14488,13780,4991,4762,1636,1568,16821,16332,448222,428383,32233,31357,21338,20404,9728,9339,3150,3025
R,4.2,2020,23,4279535,2179110,2100425,1597899,1527048,324258,321055,32188,31239,135282,133436,6139,5571,83344,82076,1673265,1601024,364808,361708,54504,53228,165373,162576,12766,12143,1686241,1629945,1167485,1116043,299793,297985,17762,17468,130364,128683,4413,4013,66424,65753,1227702,1175350,332470,331078,32979,32661,155854,153339,9525,9116,492869,470480,430414,411005,24465,23070,14426,13771,4918,4753,1726,1558,16920,16323,445563,425674,32338,30630,21525,20567,9519,9237,3241,3027
R,4.2,2020,24,4330323,2207625,2122698,1616196,1541797,329768,325526,32225,30742,141377,139274,6308,6068,81751,79291,1689898,1613139,368848,364219,54752,52623,171011,167645,12893,12604,1714513,1651982,1184763,1129923,305416,302400,17965,17173,136529,134474,4569,4345,65271,63667,1243661,1187313,337035,333800,33504,32473,161641,158495,9710,9504,493112,470716,431433,411874,24352,23126,14260,13569,4848,4800,1739,1723,16480,15624,446237,425826,31813,30419,21248,20150,9370,9150,3183,3100
R,4.2,2020,25,4397955,2238196,2159759,1629927,1559507,343821,340349,32631,31574,145432,143716,6452,6245,79933,78368,1701456,1629472,381408,378272,55580,53767,174378,171914,13375,12806,1744882,1687543,1198149,1146560,319240,316735,18388,17656,140557,139010,4716,4567,63832,63015,1255241,1202872,349527,347536,34448,33393,165186,162914,10128,9738,493314,472216,431778,412947,24581,23614,14243,13918,4875,4706,1736,1678,16101,15353,446215,426600,31881,30736,21132,20374,9192,9000,3247,3068
R,4.2,2020,26,4491891,2285613,2206278,1658137,1584656,360105,355895,33533,32766,150173,149785,6510,6406,77155,76770,1726791,1652844,395681,392452,56268,55427,178563,177205,13318,13081,1785081,1729859,1219390,1167999,335024,331823,19070,18769,145357,145046,4767,4756,61473,61466,1274063,1222573,363508,361370,35017,34842,169467,168291,10071,9961,500532,476419,438747,416657,25081,24072,14463,13997,4816,4739,1743,1650,15682,15304,452728,430271,32173,31082,21251,20585,9096,8914,3247,3120
R,4.2,2020,27,4580233,2327875,2252358,1686295,1615205,371654,365173,34666,33443,154142,157609,6744,6465,74374,74463,1752286,1681282,404878,399414,57315,56011,181832,184792,13411,13029,1822795,1772784,1243392,1195030,346041,341211,19794,19376,149396,152750,4897,4739,59275,59678,1295990,1248004,372448,368624,35738,35475,173135,175996,10205,9919,505080,479574,442903,420175,25613,23962,14872,14067,4746,4859,1847,1726,15099,14785,456296,433278,32430,30790,21577,20536,8697,8796,3206,3110
R,4.2,2020,28,4674071,2365521,2308550,1714660,1652951,374242,374399,36197,33720,160880,166631,7186,6735,72356,74114,1778159,1717890,405351,407996,58803,56201,188604,194712,14091,13645,1856017,1827819,1269102,1233841,348145,348758,20525,19663,155967,161553,5203,4934,57075,59070,1319099,1285571,372424,375383,36267,35533,179668,185517,10682,10336,509504,480731,445558,419110,26097,25641,15672,14057,4913,5078,1983,1801,15281,15044,459060,432319,32927,32613,22536,20668,8936,9195,3409,3309
R,4.2,2020,29,4748157,2402999,2345158,1746167,1679743,375622,379097,35517,32893,168862,174956,7630,7012,69201,71457,1806420,1742071,404573,410934,57119,54683,196370,202584,14672,13922,1894817,1872548,1302695,1268959,348910,352729,19886,19306,163574,169638,5517,5230,54235,56686,1349694,1318240,371155,377821,34805,34644,187122,193149,11096,10771,508182,472610,443472,410784,26712,26368,15631,13587,5288,5318,2113,1782,14966,14771,456726,423831,33418,33113,22314,20039,9248,9435,3576,3151
